Name,Specialty,Location,Rating,Reviews
Namrata Khimani M.D.,Anesthesiology,New York,5.0,12
Michael Nguyen M.D.,Pain Management,New York,4.9,27
Dmitriy Fuzaylov M.D.,Pain Management,Malverne,4.8,6
Dr. Daniel Weitz,Clinical Cardiac Electrophysiology,New York,5.0,61
Dr. Mehran Alagheband,Dermatology,Glen Cove,5.0,56
Dr. Justin Cohen MD,Otolaryngology,New York,5.0,49
Dr. Shahriar Shayani,Internal Medicine,New Hyde Park,5.0,114
Deevya Narayanan D.O.,Family Medicine,New York,5.0,23
Dr. Brian K Chung,Pediatrics,Astoria,5.0,22
Dr. Anjan V Rau,Vascular Surgery,Brooklyn,5.0,18
"Dr. Michal Lavine MD, DMD",General Dentistry,New York,5.0,25
Dr. Barry J Richman,Neurology,New York,5.0,17
Dr. Marc E Liebeskind,Diagnostic Radiology,New York,5.0,16
Dr. Michael C Haben,Otolaryngology,Rochester,5.0,20
Dr. John F Morrison,Neurological Surgery,Buffalo,5.0,315
Dr. Babak Mohajer,Gastroenterology,New York,5.0,29
Dr. Eli Greenberg,Psychiatry,New York,5.0,24
Dr. Rosemarie P Gambetta,Internal Medicine,New York,5.0,19
Dr. Libi Z Galmer,Sports Medicine,Fresh Meadows,5.0,19
Dr. Namrata Khimani,Pain Medicine,New York,5.0,12
Monica Kapoor,Emergency Medicine,Hawthorne,5.0,29
"Dr. Ali Payami MD, DMD",Oral and Maxillofacial Surgery,Yorktown Heights,5.0,19
Dr. Nivea B Calico,Neurology,New York,5.0,19
Dr. Yury Koyen,Pain Medicine,Brooklyn,5.0,10
Dr. Rhonda J Pomerantz,Dermatology,New York,5.0,33
Dr. Amado A Baez,Emergency Medicine,Brooklyn,5.0,22
Dr. Zhanna Tsukerman MD,Internal Medicine,Brooklyn,5.0,17
Dr. John J Olichney,Hematology and Oncology,New York,5.0,15
Dr. Frank C Smith,Pediatric Cardiology,Syracuse,5.0,15
"Dr. Gregory Bohle MD, DDS",Oral and Maxillofacial Surgery,Huntington,5.0,13
Dr. Debra M Kroll,Ophthalmology,New York,5.0,13
Dr. Mehdi M Sina,Otolaryngology,New York,5.0,13
Dr. Vivien Lim,Cardiovascular Disease,Flushing,5.0,11
Dr. Katerina S Silverblatt,Pediatrics,Brooklyn,5.0,10
Dr. Jason A Moche,Plastic Surgery,New York,5.0,27
Dr. Andrew B Eisenberger,Internal Medicine,New York,5.0,24
Dr. Leslie Saint-Louis MD,Neuroradiology,Brooklyn,5.0,18
Rebecca Chusid MD,Dermatology,Great Neck,5.0,18
Dr. Robert F Love,Family Medicine,Glens Falls,5.0,17
Dr. Andrew K Young,Physical Medicine and Rehabilitation,Flushing,5.0,16
Dr. Steven J Simonte,Allergy and Immunology,New York,5.0,15
Dr. Lloyd R Sookhu,Internal Medicine,Jamaica,5.0,14
Dr. James T Goodrich,Neurological Surgery,Bronx,5.0,13
Dr. Alice Wei,Internal Medicine,New York,5.0,12
Dr. Jaqueline M Worth,Obstetrics and Gynecology,New York,5.0,11
Dr. Aastha Kalra,Internal Medicine,Montrose,5.0,11
Dr. Craig L Basman,Internal Medicine,New York,5.0,9
Dr. Brian J Wagner,Maternal and Fetal Medicine,New York,5.0,22
Dr. Benjamin L Yam,Diagnostic Radiology,Bronx,5.0,21
Dr. Katherine Hsu,,Brooklyn,5.0,219
Dr. Vlad Kononchuk,Psychiatry,Bellerose,5.0,17
Dr. Todd M Mcniff,Internal Medicine,New York,5.0,16
Thomas J Giannattasio Sr,Pediatrics,Massapequa Park,5.0,15
Michael T McCarville,,Binghamton,5.0,14
Dr. Gagan D Sahni,Cardiovascular Disease,New York,5.0,13
Dr. David C Cheeran,Vascular Surgery,Rochester,5.0,13
Jay A Schechtman,Physical Medicine and Rehabilitation,Scarsdale,5.0,11
Dr. Hai T Cao,Pediatrics,Brooklyn,5.0,10
Dr. Amit A Shah,Anesthesiology,Cooperstown,5.0,29
Dr. Thomas T Woloszyn,Plastic Surgery,Staten Island,5.0,8
Dr. Samir A Sidani,Family Medicine,Larchmont,5.0,18
Dr. Muhammad A Wattoo,Internal Medicine,Ithaca,5.0,15
Dr. Dimitrios V Avgerinos,Thoracic Surgery (Cardiothoracic Vascular Surgery),New York,5.0,15
Dr. Sughosh Dhakal,Radiation Oncology,Rochester,5.0,15
Dr. Darius P Melisaratos,Diagnostic Radiology,Staten Island,5.0,14
Mehran N Tafreshi,,Forest Hills,5.0,13
Dr. Joel A Yellin,Surgery,Rochester,5.0,13
Dr. Jennifer N Mingione,Internal Medicine,West Babylon,5.0,13
Dr. Maurice J Martin,Family Medicine,New York,5.0,13
Dr. Nilay R Shah,Neurology,Mount Kisco,5.0,13
Dr. Rebecca J Kurth,Internal Medicine,New York,5.0,12
Dr. Masooma Z Sheikh,Internal Medicine,Greenvale,5.0,12
Dr. Angela C Cavanna,Sports Medicine,Red Hook,5.0,12
Dr. Jeffrey J Basti,Internal Medicine,Brooklyn,5.0,12
Dr. Fred Howard MD,Gynecology,Rochester,5.0,11
Dr. Raymundo Corpuz Jr MD,Pediatrics,Brooklyn,5.0,10
Dr. Shane S Spicer,Psychiatry,New York,5.0,10
Dr. Elizabeth C Anisis,Family Medicine,Bethpage,5.0,10
Dr. Justin C Kanaley,Pediatrics,East Amherst,5.0,10
Dr. Yves P Gobin,Neurological Surgery,New York,5.0,9
Dr. Ashish Agarwala,Surgery,Port Jefferson,5.0,9
Dr. Sandy Cheung,Internal Medicine,Stony Brook,5.0,9
Dr. Gauri Khurana,Child and Adolescent Psychiatry,New York,5.0,8
Dr. Steven Sandoval,Surgery,Stony Brook,5.0,7
Dr. Gary S Berger,Plastic Surgery,Harrison,5.0,7
Dr. Maha Ahmad,Sleep Medicine,New York,5.0,6
Dr. Kambiz Shekib,Internal Medicine,Great Neck,5.0,6
Dr. Marguerite H Collins,Internal Medicine,Shandaken,5.0,26
Dr. Shirley Gresseau,Obstetrics and Gynecology,New Rochelle,5.0,18
Dr. Praveen Kadimcherla,Orthopaedic Surgery of the Spine,Bronx,5.0,17
Dr. Yizhak Y Kupfer,Internal Medicine,Brooklyn,5.0,16
Dr. Alexander Benitt MD,Pediatrics,Stony Brook,5.0,15
Dr. Roger S Kersten,Internal Medicine,Massapequa,5.0,15
Dr. Mary K Mcgorray,Internal Medicine,Buffalo,5.0,14
George J Tsioulias,,Garden City,5.0,13
Dr. Monique S Hanono,Pediatrics,Long Beach,5.0,13
Saleh Z Sarwar,Cardiovascular Disease,Newburgh,5.0,12
Dr. Mujtaba A Hasnain,Nephrology,Saratoga Springs,5.0,12
Dr. Andrew Wackett,Emergency Medicine,Stony Brook,5.0,11
Dr. Shervin Mortazavi,Internal Medicine,Bronx,5.0,11
Dr. Clive S Zent,Internal Medicine,Rochester,5.0,11
Dr. Christopher J Murphy,Family Medicine,Schenectady,5.0,11
Dr. David Duffy MD,Internal Medicine,Astoria,5.0,10
Dr. Vanessa T Pero,Internal Medicine,Garden City,5.0,10
Dr. John M Scalzone,Obstetrics and Gynecology,Corning,5.0,10
Dr. Joseph S Cirrone,Radiation Oncology,East Setauket,5.0,10
Dr. Irving Zoltan,Pediatrics,New Rochelle,5.0,10
Dr. Shepard D Weiner,Cardiovascular Disease,New York,5.0,10
Dr. Arthur L Ossias,Hematology,New York,5.0,10
Dr. Barry D Berson,Diagnostic Radiology,New York,5.0,10
Rakesh K Mehta,,Wappingers Falls,5.0,10
Dr. Fredrick Z Bierman,Pediatric Cardiology,Hawthorne,5.0,9
Dr. Scot S Shapiro,Neurology,New York,5.0,9
Dr. Frank T Pollaro,Internal Medicine,Babylon,5.0,9
Dr. Burr W Hall,Clinical Cardiac Electrophysiology,Rochester,5.0,9
Dr. Fredrick Z Bierman,Pediatrics,Hawthorne,5.0,9
Dr. Ronald L Sham,Internal Medicine,Rochester,5.0,9
Dr. Mourad Shehebar,Anesthesiology,New York,5.0,9
Dr. Sassan Naderi,Emergency Medicine,New Hyde Park,5.0,9
Dr. Robert M Droege,Family Medicine,Amsterdam,5.0,8
Dr. Robert I Rattiner,Internal Medicine,Williston Park,5.0,8
Dr. Qian Xie MD,Gastroenterology,Poughkeepsie,5.0,7
Dr. Stanley John,Pediatrics,New City,5.0,7
Dr. Raquel M Rosen,Internal Medicine,Cooperstown,5.0,7
Dr. Nicole T Boniquit,Sports Medicine,New York,5.0,7
Dr. Margaret M Seide,Addiction Medicine,Staten Island,5.0,7
Dr. Michael B Tom,Otolaryngology,Yonkers,5.0,7
Dr. Paul J Rosenfield,Psychiatry,New York,5.0,7
Dr. Reena N Rupani,Dermatology,New York,5.0,7
"Steven Smullin DMD,, MD",Oral and Maxillofacial Surgery,Mount Kisco,5.0,6
Dr. Thomas M Biancaniello,Pediatrics,Nesconset,5.0,6
Dr. Laura R Sirulnik,Neurology,New York,5.0,6
Dr. Nelson L Tieng,Internal Medicine,White Plains,5.0,6
Dr. Farida Barodawala MD,Anesthesiology,Buffalo,5.0,5
Dr. Ghulam S Joyo,Anesthesiology,Yonkers,5.0,5
Dr. Zahi M Kassas,Pediatrics,Wellsville,5.0,26
Dr. Michael R Levine,Internal Medicine,Woodmere,5.0,19
Dr. Julene O Evans Murage,Obstetrics and Gynecology,Middletown,5.0,19
Dr. Zeev Levin,Psychiatry,New York,5.0,18
Dr. Peter S Maran,Obstetrics and Gynecology,Brooklyn,5.0,16
Dr. John D Scinto,Allergy and Immunology,Ossining,5.0,16
Dr. Peter K Stevens,Family Medicine,New Rochelle,5.0,15
Dr. Marianne Styler,Obstetrics and Gynecology,New York,5.0,15
Dr. Sherry K Solomon,Ophthalmology,Scarsdale,5.0,15
Dr. David A Rubin,Internal Medicine,West Harrison,5.0,14
Dr. Tanya D Mays,Obstetrics and Gynecology,Utica,5.0,13
Dr. Anthony D Rotella,Family Medicine,Fulton,5.0,12
Dr. Neil C Goldman,Allergy and Immunology,Croton On Hudson,5.0,12
Dr. Caroline C Cho,Pediatrics,Tarrytown,5.0,12
Dr. Anthony D Rotella,Family Medicine,Fulton,5.0,12
Dr. Ruby R Malva,Pediatrics,College Point,5.0,12
Dr. Brian J Kistler,Orthopaedic Surgery,East Syracuse,5.0,12
Dr. Jeffry L Jacobs,Plastic Surgery,Monsey,5.0,12
Dr. John T Bank,Family Medicine,Rochester,5.0,12
Dr. Shannon H Fourtner,Pediatric Endocrinology,Buffalo,5.0,12
Dr. Michael A Rosen,Nephrology,Mount Kisco,5.0,11
Dr. Kimberly P Kaffenbarger,Internal Medicine,Elmira,5.0,11
Dr. Michael J Wiechowski,Internal Medicine,New York,5.0,11
Dr. Michael A Rosen,Internal Medicine,Mount Kisco,5.0,11
Dr. Frank M Nochimson,Family Medicine,Brooklyn,5.0,11
Dr. Jona D Weiss,Pediatrics,New York,5.0,11
Dr. Edward M Wolin,Internal Medicine,Bronx,5.0,11
Dr. Sandra J Hughes,Pediatrics,Brooklyn,5.0,10
Dr. Robert S Grimshaw Jr,Internal Medicine,Jefferson Valley,5.0,10
Dr. Gramen Tontchev,,Brooklyn,5.0,10
Dr. Iram Siddiqui,Internal Medicine,Syracuse,5.0,10
Dr. May Tsui,Psychiatry,New York,5.0,10
Dr. Michael I Horowitz,Surgery,Brooklyn,5.0,310
Dr. Asim Farid,Colon and Rectal Surgery,Rochester,5.0,10
Sunil Abrol,Thoracic Surgery (Cardiothoracic Vascular Surgery),Brooklyn,5.0,10
Dr. Peter A Kouides,Hematology,Rochester,5.0,10
Dr. Kathryn Spanknebel MD,Surgical Oncology,Valhalla,5.0,9
Dr. Helen Colen MD,Osteopathic Manipulative Medicine,New York,5.0,9
Dr. Nauman A Piracha,Internal Medicine,Flushing,5.0,9
Dr. Paula M Castano,Obstetrics and Gynecology,New York,5.0,9
Dr. Odessa E Hoinkis,Family Medicine,Monsey,5.0,9
Dr. Craig D Hametz,Internal Medicine,Cortlandt Manor,5.0,9
Dr. Ausra D Selvadurai,Ophthalmology,Buffalo,5.0,9
Dr. Jordan Klesmer,Neurology,Great Neck,5.0,9
Dr. Neil Trachtman MD,Family Medicine,Greenwich,5.0,8
Dr. Vihas M Patel,Critical Care Medicine,New Hyde Park,5.0,8
Dr. Gudrun Aspelund MD,Pediatric Surgery,New York,5.0,8
Dr. Robert E Burke,Internal Medicine,Horseheads,5.0,8
Dr. Thomas M Ciecierega,Pediatric Gastroenterology,New York,5.0,8
Dr. Laurey G Mogil,Ophthalmology,Brooklyn,5.0,8
Dr. Jeffrey A Matos,Clinical Cardiac Electrophysiology,New York,5.0,8
Dr. Gerard C Hellman,Internal Medicine,New York,5.0,8
Dr. David A Shenouda,Internal Medicine,East Setauket,5.0,8
Dr. Michael C Zang,Pediatrics,Rochester,5.0,28
Dr. Bruce K Barach,Plastic Surgery,Schenectady,5.0,8
Dr. Anna L Dickerman,Psychiatry,New York,5.0,8
Dr. Harold L Husovsky,Internal Medicine,Syracuse,5.0,8
Dr. Robyn J Blair,Pediatrics,Stony Brook,5.0,8
Dr. Benedetto B Vitullo,Neonatal-Perinatal Medicine,Rochester,5.0,8
Dr. Kameelah A Phillips,Obstetrics and Gynecology,New York,5.0,8
Dr. Dianne S Acuna,Internal Medicine,New York,5.0,8
Dr. Christine Chang,Geriatric Medicine,New York,5.0,27
"Dr. Sei Iwai MD, FACC",Clinical Cardiac Electrophysiology,New Windsor,5.0,7
Dr. Anthony A Garami,Adolescent Medicine,Plattsburgh,5.0,7
"Dr. Arumugam Kuperan MD, BS, MBBS",Pediatrics,Buffalo,5.0,7
Dr. Arnold Nussbaum DO,Pediatrics,Brooklyn,5.0,7
Dr. Ira D Rothfeld,Otolaryngology,New York,5.0,7
Dr. Murray F Brennan,Surgery,New York,5.0,7
Dr. Raghad H Said,Critical Care Medicine,New York,5.0,7
Dr. Demetrios Gasparis,Family Medicine,Endicott,5.0,7
Dr. Sandy A Kahn,Cardiovascular Disease,Syosset,5.0,7
